"Detector" "Sample" "Cts"
ACTB BM1 0.0424753
B2M BM1 0.0575575
GAPD BM1 0.1546512
HMBS BM1 0.1096441
HPRT1 BM1 0.118002
RPL13A BM1 0.0741848
SDHA BM1 0.2033609
TBP BM1 0.1902234
UBC BM1 0.0991928
YWHAZ BM1 0.1032482
ACTB BM2 0.0191865
B2M BM2 0.0194445
GAPD BM2 0.0703254
HMBS BM2 0.0879577
HPRT1 BM2 0.0707967
RPL13A BM2 0.0440644
SDHA BM2 0.1403777
TBP BM2 0.1060434
UBC BM2 0.0367942
YWHAZ BM2 0.0393353
ACTB BM3 0.1631383
B2M BM3 0.295588
GAPD BM3 0.7732798
HMBS BM3 0.4045788
HPRT1 BM3 0.5574677
RPL13A BM3 0.3481331
SDHA BM3 0.4472067
TBP BM3 0.4686091
UBC BM3 0.3400902
YWHAZ BM3 0.3587541
ACTB BM4 0.5725601
B2M BM4 1
GAPD BM4 1
HMBS BM4 0.7968714
HPRT1 BM4 1
RPL13A BM4 0.5706515
SDHA BM4 0.9736405
TBP BM4 1
UBC BM4 0.5979617
YWHAZ BM4 0.7862987
ACTB BM5 0.0370407
B2M BM5 0.0443597
GAPD BM5 0.11919
HMBS BM5 0.2081702
HPRT1 BM5 0.1304351
RPL13A BM5 0.1078288
SDHA BM5 0.2138061
TBP BM5 0.2006627
UBC BM5 0.0759393
YWHAZ BM5 0.1001915
ACTB BM6 0.4547358
B2M BM6 0.361158
GAPD BM6 0.7257439
HMBS BM6 0.3551782
HPRT1 BM6 0.54641
RPL13A BM6 0.5179835
SDHA BM6 1
TBP BM6 0.7185101
UBC BM6 0.6765965
YWHAZ BM6 0.5861008
ACTB BM7 0.2459956
B2M BM7 0.2560527
GAPD BM7 0.3458159
HMBS BM7 0.1785298
HPRT1 BM7 0.2403124
RPL13A BM7 0.1876996
SDHA BM7 0.433967
TBP BM7 0.5409637
UBC BM7 0.2020073
YWHAZ BM7 0.4032301
ACTB BM8 0.1809303
B2M BM8 0.0629878
GAPD BM8 0.1353151
HMBS BM8 0.2255396
HPRT1 BM8 0.1980004
RPL13A BM8 0.1658849
SDHA BM8 0.2792762
TBP BM8 0.4032301
UBC BM8 0.1114901
YWHAZ BM8 0.1631383
ACTB BM9 1
B2M BM9 0.4211193
GAPD BM9 0.7453921
HMBS BM9 1
HPRT1 BM9 0.8157169
RPL13A BM9 1
SDHA BM9 0.9291722
TBP BM9 0.7889286
UBC BM9 1
YWHAZ BM9 1
ACTB POOL.brain 9.022168
B2M POOL.brain 1.0934566
GAPD POOL.brain 11.9035163
HMBS POOL.brain 0.0237385
HPRT1 POOL.brain 0.2558446
RPL13A POOL.brain 0.540524
SDHA POOL.brain 0.6990019
TBP POOL.brain 0.049487
UBC POOL.brain 3.5539607
YWHAZ POOL.brain 6.3116425
ACTB POOL.fetal.brain 14.6127978
B2M POOL.fetal.brain 0.3994356
GAPD POOL.fetal.brain 6.1949656
HMBS POOL.fetal.brain 0.0135651
HPRT1 POOL.fetal.brain 0.1552558
RPL13A POOL.fetal.brain 1.4254853
SDHA POOL.fetal.brain 0.5358732
TBP POOL.fetal.brain 0.1019356
UBC POOL.fetal.brain 4.2478517
YWHAZ POOL.fetal.brain 9.886968
ACTB POOL.heart 3.0656054
B2M POOL.heart 4.2382155
GAPD POOL.heart 19.6907674
HMBS POOL.heart 0.0286896
HPRT1 POOL.heart 0.0561318
RPL13A POOL.heart 1.0391068
SDHA POOL.heart 2.0741779
TBP POOL.heart 0.0208213
UBC POOL.heart 6.0785742
YWHAZ POOL.heart 1.9144404
ACTB POOL.kidney 7.7457994
B2M POOL.kidney 3.1129275
GAPD POOL.kidney 8.9119658
HMBS POOL.kidney 0.0273416
HPRT1 POOL.kidney 0.1126411
RPL13A POOL.kidney 1.3554263
SDHA POOL.kidney 1.0909746
TBP POOL.kidney 0.0366808
UBC POOL.kidney 4.361506
YWHAZ POOL.kidney 1.8244893
ACTB POOL.liver 6.5063173
B2M POOL.liver 7.6373649
GAPD POOL.liver 7.3373877
HMBS POOL.liver 0.0406511
HPRT1 POOL.liver 0.0748952
RPL13A POOL.liver 1.4625404
SDHA POOL.liver 1.1615715
TBP POOL.liver 0.0370226
UBC POOL.liver 2.8710638
YWHAZ POOL.liver 1.5635484
ACTB POOL.lung 15.0615098
B2M POOL.lung 13.5804182
GAPD POOL.lung 2.6710306
HMBS POOL.lung 0.0086155
HPRT1 POOL.lung 0.0643111
RPL13A POOL.lung 1.2350624
SDHA POOL.lung 0.3215653
TBP POOL.lung 0.0380723
UBC POOL.lung 8.0665187
YWHAZ POOL.lung 3.9214688
ACTB POOL.mammery.gland 9.7993665
B2M POOL.mammery.gland 3.8601103
GAPD POOL.mammery.gland 5.5733812
HMBS POOL.mammery.gland 0.0240373
HPRT1 POOL.mammery.gland 0.0532142
RPL13A POOL.mammery.gland 2.9849454
SDHA POOL.mammery.gland 0.4918616
TBP POOL.mammery.gland 0.0473447
UBC POOL.mammery.gland 4.7798117
YWHAZ POOL.mammery.gland 2.7550675
ACTB POOL.trachea 8.739167
B2M POOL.trachea 5.1909046
GAPD POOL.trachea 4.823244
HMBS POOL.trachea 0.026192
HPRT1 POOL.trachea 0.0699069
RPL13A POOL.trachea 1.6568525
SDHA POOL.trachea 0.486486
TBP POOL.trachea 0.0595541
UBC POOL.trachea 8.3400301
YWHAZ POOL.trachea 1.7419531
ACTB POOL.uterus 27.1239918
B2M POOL.uterus 5.4975715
GAPD POOL.uterus 4.1391024
HMBS POOL.uterus 0.0168663
HPRT1 POOL.uterus 0.039652
RPL13A POOL.uterus 1.9461086
SDHA POOL.uterus 0.3677314
TBP POOL.uterus 0.0399177
UBC POOL.uterus 5.0741901
YWHAZ POOL.uterus 2.9739868
ACTB FIB1 0.4993028
B2M FIB1 0.3278251
GAPD FIB1 0.5162567
HMBS FIB1 0.3056248
HPRT1 FIB1 0.4829056
RPL13A FIB1 0.3355779
SDHA FIB1 0.3939143
TBP FIB1 0.4383361
UBC FIB1 0.4472067
YWHAZ FIB1 0.5725601
ACTB FIB2 0.2387128
B2M FIB2 0.4780923
GAPD FIB2 0.2877965
HMBS FIB2 0.1156613
HPRT1 FIB2 0.313899
RPL13A FIB2 0.2395113
SDHA FIB2 0.2509738
TBP FIB2 0.2363335
UBC FIB2 0.2218053
YWHAZ FIB2 0.351638
