"Well" "PlateID" "Sample" "Detector" "Cts"
 1 "A" "one" "dx" 20.2712554227792
 2 "A" "one" "aj" 19.8498329931463
 3 "A" "one" "jy" 19.5007131087816
 4 "A" "one" "ax" 19.1686621517887
 5 "A" "one" "al" 21.7121065901838
 6 "A" "one" "ei" 20.7773052257951
 7 "A" "one" "bo" 18.8705150882936
 8 "A" "one" "cp" 20.3037101230571
 1 "B" "one" "dx" 20.2712554227792
 2 "B" "one" "aj" 19.8498329931463
 3 "B" "one" "jy" 19.5007131087816
 4 "B" "one" "ax" 19.1686621517887
 5 "B" "one" "al" 21.7121065901838
 6 "B" "one" "ei" 20.7773052257951
 7 "B" "one" "bo" 18.8705150882936
 8 "B" "one" "cp" 20.3037101230571
 26 "A" "two" "dx" 21.122282586787
 27 "A" "two" "aj" 18.1546594805205
 28 "A" "two" "jy" 21.5597921300234
 29 "A" "two" "ax" 20.9989928133972
 30 "A" "two" "al" 20.6055928460936
 31 "A" "two" "ei" 19.4764783527713
 32 "A" "two" "bo" 21.2531129878555
 33 "A" "two" "cp" 22.6962545494406
 26 "B" "two" "dx" 21.122282586787
 27 "B" "two" "aj" 18.1546594805205
 28 "B" "two" "jy" 21.5597921300234
 29 "B" "two" "ax" 20.9989928133972
 30 "B" "two" "al" 20.6055928460936
 31 "B" "two" "ei" 19.4764783527713
 32 "B" "two" "bo" 21.2531129878555
 33 "B" "two" "cp" 22.6962545494406
 26 "C" "three" "dx" 21.122282586787
 2 "C" "three" "aj" 21.712488271459
 3 "C" "three" "jy" 18.6803419760822
 4 "C" "three" "ax" 21.0951496821052
 5 "C" "three" "al" 19.7816695684054
 6 "C" "three" "ei" 19.6652863867888
 7 "C" "three" "bo" 19.0934946571916
 8 "C" "three" "cp" 21.5480964723626
 26 "B" "three" "dx" 21.122282586787
 2 "B" "three" "aj" 21.712488271459
 3 "B" "three" "jy" 18.6803419760822
 4 "B" "three" "ax" 21.0951496821052
 5 "B" "three" "al" 19.7816695684054
 6 "B" "three" "ei" 19.6652863867888
 7 "B" "three" "bo" 19.0934946571916
 8 "B" "three" "cp" 21.5480964723626

