"Well" "PlateID" "Sample" "Detector" "Cts"
1 "A" "one" "dm" 21.0014917960626
2 "A" "one" "sw" 19.8315362467861
3 "A" "one" "er" 20.4971810118107
4 "A" "one" "jw" 18.9761465052152
5 "A" "one" "il" 20.2740299279722
6 "A" "one" "bc" 19.6343712615078
7 "A" "one" "qy" 19.9381496369056
8 "A" "one" "qs" 19.9339218016992
9 "A" "one" "dh" 20.4150318782850
10 "A" "one" "hl" 19.4111838416443
11 "A" "one" "by" 18.7933717338123
12 "A" "one" "ev" 19.0555529479869
13 "A" "one" "jr" 20.1413846318420
14 "A" "one" "dq" 19.6327635272094
15 "A" "one" "rz" 20.5200006807006
16 "A" "one" "iv" 19.4778806082065
17 "A" "one" "vx" 21.1229460930688
18 "A" "one" "ai" 18.2534598786095
19 "A" "one" "dr" 18.5331584854772
20 "A" "one" "fr" 20.4680950899178
21 "A" "one" "gx" 20.0511317453079
22 "A" "one" "eg" 19.5369999829546
23 "A" "one" "az" 19.9991513818477
24 "A" "one" "xz" 20.8111760975806
25 "A" "one" "fw" 20.1737816572178
26 "A" "two" "dm" 19.5633938670487
27 "A" "two" "sw" 19.5077596509739
28 "A" "two" "er" 20.3335871479588
29 "A" "two" "jw" 19.3955831562278
30 "A" "two" "il" 19.0607887556414
31 "A" "two" "bc" 20.7528383985073
32 "A" "two" "qy" 19.6728237870993
33 "A" "two" "qs" 20.1664816830546
34 "A" "two" "dh" 20.3859270837548
35 "A" "two" "hl" 19.2627392465938
36 "A" "two" "by" 20.1110463079268
37 "A" "two" "ev" 19.5677452058614
38 "A" "two" "jr" 20.4840144604876
39 "A" "two" "dq" 20.9272692090057
40 "A" "two" "rz" 20.4931475098658
41 "A" "two" "iv" 19.8608390916101
42 "A" "two" "vx" 22.2020991464141
43 "A" "two" "ai" 19.5963548365375
44 "A" "two" "dr" 21.0463284341796
45 "A" "two" "fr" 18.7445909337096
46 "A" "two" "gx" 19.3370923981357
47 "A" "two" "eg" 20.1182039772963
48 "A" "two" "az" 19.5232560343072
49 "A" "two" "xz" 20.8956519114685
50 "A" "two" "fw" 21.5349269321586
1 "B" "three" "dm" 19.599424044724
2 "B" "three" "sw" 18.7775131391418
